date,gross_return,turnover,cost,net_return
2017-09-01,-0.012767680828532253,2.0,0.002,-0.014767680828532253
2017-10-01,0.06901053648545435,0.7368421052631579,0.0007368421052631579,0.0682736943801912
2017-11-01,-0.0467846315592859,0.7894736842105263,0.0007894736842105264,-0.04757410524349643
2017-12-01,-0.0392368462087961,1.157894736842105,0.0011578947368421052,-0.040394740945638205
2018-01-01,0.0678305895507732,0.7368421052631579,0.0007368421052631579,0.06709374744551004
2018-02-01,0.07541438710740718,1.0526315789473684,0.0010526315789473684,0.0743617555284598
2018-03-01,-0.016567540966944946,1.0526315789473684,0.0010526315789473684,-0.017620172545892314
2018-04-01,-0.023761870714202597,0.7894736842105262,0.0007894736842105262,-0.024551344398413125
2018-05-01,0.04961887913302173,0.5263157894736842,0.0005263157894736842,0.04909256334354804
2018-06-01,-0.05007441636085262,0.9999999999999999,0.0009999999999999998,-0.05107441636085262
2018-07-01,-0.030177867200557127,0.8421052631578947,0.0008421052631578947,-0.03101997246371502
2018-08-01,0.0842516942562978,0.7368421052631579,0.0007368421052631579,0.08351485215103464
2018-09-01,0.01525490041572427,1.0526315789473684,0.0010526315789473684,0.014202268836776902
2018-10-01,-0.05408580613267921,1.1578947368421053,0.0011578947368421054,-0.055243700869521316
2018-11-01,-0.038803683315916514,0.8947368421052632,0.0008947368421052632,-0.039698420158021774
2018-12-01,0.028869800477070322,1.0,0.001,0.02786980047707032
2019-01-01,-0.03968969550747073,1.0526315789473684,0.0010526315789473684,-0.0407423270864181
2019-02-01,0.00428952625140046,1.2105263157894735,0.0012105263157894735,0.003078999935610986
2019-03-01,0.018338665028398586,0.7894736842105263,0.0007894736842105264,0.01754919134418806
2019-04-01,-0.043353801639263584,1.1052631578947367,0.0011052631578947366,-0.04445906479715832
2019-05-01,0.08341131313029157,1.0769230769230769,0.0010769230769230769,0.0823343900533685
2019-06-01,-0.056350583871046515,0.8205128205128205,0.0008205128205128205,-0.057171096691559335
2019-07-01,0.019021309260328658,0.717948717948718,0.000717948717948718,0.01830336054237994
2019-08-01,0.09232629680667129,0.6153846153846154,0.0006153846153846154,0.09171091219128667
2019-09-01,-0.065186732569704,0.6666666666666666,0.0006666666666666666,-0.06585339923637067
2019-10-01,-0.013289788756923554,1.1794871794871793,0.0011794871794871791,-0.014469275936410732
2019-11-01,-0.03759329845948378,1.2307692307692308,0.0012307692307692308,-0.03882406769025301
2019-12-01,-0.047416797385223,1.1282051282051282,0.0011282051282051281,-0.04854500251342813
2020-01-01,0.03824811868919913,1.0256410256410255,0.0010256410256410256,0.03722247766355811
2020-02-01,0.02066312869429542,1.1282051282051282,0.0011282051282051281,0.019534923566090292
2020-03-01,0.21462513595542126,1.1794871794871795,0.0011794871794871796,0.21344564877593408
2020-04-01,-0.17955512050782102,0.8205128205128205,0.0008205128205128205,-0.18037563332833384
2020-05-01,0.023417637217972423,1.1794871794871795,0.0011794871794871796,0.022238150038485244
2020-06-01,0.005512677383040622,1.1282051282051282,0.0011282051282051281,0.004384472254835494
2020-07-01,0.08291600651534069,0.7692307692307692,0.0007692307692307691,0.08214677574610992
2020-08-01,0.00860324871399638,0.6153846153846154,0.0006153846153846154,0.007987864098611765
2020-09-01,0.054832105558919805,0.717948717948718,0.000717948717948718,0.05411415684097109
2020-10-01,0.007289446101705918,0.6153846153846154,0.0006153846153846154,0.006674061486321302
2020-11-01,-0.2035157196765206,0.6666666666666666,0.0006666666666666666,-0.20418238634318728
2020-12-01,-0.018200346371284166,0.5641025641025641,0.0005641025641025641,-0.01876444893538673
2021-01-01,0.013268921046487303,0.7692307692307692,0.0007692307692307691,0.012499690277256535
2021-02-01,-0.13498111354871262,0.8205128205128205,0.0008205128205128205,-0.13580162636922544
2021-03-01,-0.05134643622667244,0.6666666666666666,0.0006666666666666666,-0.05201310289333911
2021-04-01,-0.0003007006496664644,2.205128205128205,0.0022051282051282046,-0.002505828854794669
2021-05-01,0.027562490665508088,0.717948717948718,0.000717948717948718,0.02684454194755937
2021-06-01,0.022984729342468126,0.7692307692307693,0.0007692307692307692,0.022215498573237357
2021-07-01,-0.029942377615650304,0.8717948717948718,0.0008717948717948719,-0.030814172487445175
2021-08-01,0.03831842335628156,0.8717948717948718,0.0008717948717948719,0.03744662848448668
2021-09-01,0.0047010668475230225,1.0769230769230769,0.0010769230769230769,0.0036241437705999456
2021-10-01,0.058482991082852154,0.8205128205128206,0.0008205128205128206,0.057662478262339334
2021-11-01,-0.013384227128319614,0.8717948717948718,0.0008717948717948719,-0.014256022000114485
2021-12-01,-0.050392576543573646,1.0256410256410255,0.0010256410256410256,-0.05141821756921467
2022-01-01,-0.02595654397536162,1.0256410256410255,0.0010256410256410256,-0.026982185001002645
2022-02-01,0.018259238717848906,0.9743589743589743,0.0009743589743589743,0.017284879743489932
2022-03-01,0.05946689704468545,1.3333333333333335,0.0013333333333333335,0.058133563711352115
2022-04-01,0.007878248277784826,1.282051282051282,0.0012820512820512818,0.006596196995733544
2022-05-01,0.029673714527879255,1.0256410256410255,0.0010256410256410256,0.02864807350223823
2022-06-01,0.020639191546066138,0.923076923076923,0.000923076923076923,0.019716114622989216
2022-07-01,-0.07850609120066425,0.8717948717948717,0.0008717948717948717,-0.07937788607245912
2022-08-01,0.06900940621190603,0.4615384615384615,0.0004615384615384615,0.06854786775036757
2022-09-01,0.042157833532409414,0.6153846153846154,0.0006153846153846154,0.0415424489170248
2022-10-01,0.05966826709490138,0.6153846153846154,0.0006153846153846154,0.05905288247951677
2022-11-01,-0.06329436811663794,0.923076923076923,0.000923076923076923,-0.06421744503971487
2022-12-01,0.06983771266095268,1.0256410256410255,0.0010256410256410256,0.06881207163531165
2023-01-01,-0.16004522773364088,0.5641025641025641,0.0005641025641025641,-0.16060933029774344
2023-02-01,-0.009800958224558145,0.5641025641025641,0.0005641025641025641,-0.010365060788660709
2023-03-01,-0.033389464390026616,1.0256410256410255,0.0010256410256410256,-0.03441510541566764
2023-04-01,-0.00679096726050427,1.0256410256410255,0.0010256410256410256,-0.007816608286145296
2023-05-01,-0.018666347307192965,1.282051282051282,0.0012820512820512818,-0.019948398589244246
2023-06-01,-0.02049560355770844,1.0256410256410255,0.0010256410256410256,-0.021521244583349464
2023-07-01,-9.88639833088929e-06,1.1282051282051282,0.0011282051282051281,-0.0011380915265360174
2023-08-01,0.01861782380486454,1.0256410256410255,0.0010256410256410256,0.017592182779223517
2023-09-01,-0.023433679108135732,0.9230769230769231,0.0009230769230769232,-0.024356756031212654
2023-10-01,-0.015602430522026454,0.7692307692307693,0.0007692307692307692,-0.016371661291257222
2023-11-01,0.06176039295978742,1.0769230769230769,0.0010769230769230769,0.06068346988286434
2023-12-01,-0.03001149471092758,1.1794871794871793,0.0011794871794871791,-0.03119098189041476
2024-01-01,0.05833313975152635,0.9743589743589743,0.0009743589743589743,0.05735878077716737
2024-02-01,0.057371386991388405,0.7692307692307692,0.0007692307692307691,0.05660215622215763
2024-03-01,-0.02655859589823921,0.8205128205128206,0.0008205128205128206,-0.02737910871875203
2024-04-01,-0.03100012258943007,1.0769230769230769,0.0010769230769230769,-0.032077045666353145
2024-05-01,0.012125416347656423,0.8717948717948718,0.0008717948717948719,0.01125362147586155
2024-06-01,0.038860662825938544,1.3846153846153846,0.0013846153846153847,0.03747604744132316
2024-07-01,-0.05934818505141412,1.0256410256410255,0.0010256410256410256,-0.060373826077055145
2024-08-01,0.011935438868468573,0.7692307692307692,0.0007692307692307691,0.011166208099237804
2024-09-01,0.016519910511927957,0.923076923076923,0.000923076923076923,0.015596833588851035
2024-10-01,0.01515499626640382,0.8717948717948718,0.0008717948717948719,0.014283201394608949
2024-11-01,0.022958993887200078,1.0256410256410255,0.0010256410256410256,0.021933352861559053
2024-12-01,0.028912761187165605,1.3846153846153846,0.0013846153846153847,0.02752814580255022
2025-01-01,0.05388839062709027,0.8205128205128205,0.0008205128205128205,0.05306787780657745
2025-02-01,-0.029928718140446797,0.8205128205128205,0.0008205128205128205,-0.030749230960959616
2025-03-01,-0.04947716733639737,0.717948717948718,0.000717948717948718,-0.05019511605434609
2025-04-01,0.08006092661039281,0.8205128205128205,0.0008205128205128205,0.07924041378987999
2025-05-01,-0.0019612333083233267,0.9230769230769231,0.0009230769230769232,-0.00288431023140025
2025-06-01,-0.06503785958288875,0.8717948717948718,0.0008717948717948719,-0.06590965445468362
2025-07-01,-0.0329587480533282,0.717948717948718,0.000717948717948718,-0.033676696771276916
2025-08-01,-0.0439845222979904,1.0256410256410255,0.0010256410256410256,-0.045010163323631426
2025-09-01,0.0517549394250152,0.7692307692307692,0.0007692307692307691,0.05098570865578443
2025-10-01,-0.014412016794965819,0.8717948717948718,0.0008717948717948719,-0.01528381166676069
2025-11-01,-0.011537978541159415,0.9743589743589742,0.0009743589743589743,-0.012512337515518389
2025-12-01,-0.01672793490339773,1.0769230769230769,0.0010769230769230769,-0.017804857980320807
2026-01-01,0.08113347913900297,0.8717948717948718,0.0008717948717948719,0.0802616842672081
2026-02-01,-0.013792890965851415,0.8717948717948718,0.0008717948717948719,-0.014664685837646286
2026-03-01,0.023890643161891913,0.9743589743589743,0.0009743589743589743,0.02291628418753294
2026-04-01,0.17452712512540003,0.9230769230769231,0.0009230769230769232,0.1736040482023231
2026-05-01,0.03628551417446869,0.8717948717948717,0.0008717948717948717,0.03541371930267381
2026-06-01,0.0664061080985399,0.6666666666666667,0.0006666666666666668,0.06573944143187324
2026-07-01,-0.11032747943916388,0.6666666666666666,0.0006666666666666666,-0.11099414610583054
